gene_id	gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	log2FoldChange.shrunk	sign
ENSMUSG00000019768	Esr1	1942.55949744399	6.80678587208324	0.153812778833997	44.2537084609173	0	0	5.52929307049164	up
ENSMUSG00000021756	Il6st	1192.07672784132	2.90194215837312	0.0844582319812915	34.3594945134056	1.01613619179286e-258	1.05774696884678e-254	2.7026404969726	up
ENSMUSG00000043747	1520401A03Rik	294.802082935705	-4.7338102155125	0.140608949860124	-33.6664929239685	1.78881860479765e-248	1.24138048444274e-244	-4.02232241572094	down
ENSMUSG00000002504	Slc9a3r2	147.279314189685	5.16888132646876	0.231611814425055	22.3170020031137	2.52674776490249e-110	1.31510904293762e-106	3.68816714926247	up
ENSMUSG00000036606	Plxnb2	2602.91748972915	-1.19169857672858	0.0547149006786218	-21.7801469425714	3.57922782400421e-105	1.49031888135887e-101	-1.15586280481914	down
ENSMUSG00000096403	Gm9825	114.397872374168	4.70260939098664	0.22672991929269	20.7410182372797	1.47764444203183e-95	5.12717993977679e-92	3.3580096380232	up
ENSMUSG00000024121	Atp6v0c	392.554619345241	-2.09807665849743	0.105037697557937	-19.974511125781	9.17779224484084e-89	2.72960652493345e-85	-1.88335357529076	down
ENSMUSG00000071267	Zfp942	777.61719472042	-1.16188644802501	0.0584272444103363	-19.8860387778183	5.37574319074818e-88	1.39896996860233e-84	-1.12222282849047	down
ENSMUSG00000078249	Hmga1b	80.737675570421	4.43890926470376	0.246355326762192	18.0183206226698	1.39926972936834e-72	3.23682183285771e-69	3.03062847963572	up
ENSMUSG00000024187	Fam234a	1347.60654931569	-1.01003094841794	0.05673508458579	-17.8025811681069	6.74855176344908e-71	1.40498099163246e-67	-0.977437146722632	down
ENSMUSG00000116780	Gm3417	3641.72948433748	1.50695916858336	0.0868997240210861	17.3413573582547	2.29258498601548e-67	4.33902971125966e-64	1.39759333538284	up
ENSMUSG00000023852	Chd1	1155.16689034756	-1.23998015712536	0.072461474068677	-17.1122679059792	1.20225786435292e-65	1.95756932777166e-62	-1.17603208114136	down
ENSMUSG00000062822	4833420G17Rik	594.617583938295	-1.64015698294602	0.0958522612198996	-17.1113019356242	1.22236424713154e-65	1.95756932777166e-62	-1.49763244461287	down
